,id,hostPort,isActive,rddBlocks,memoryUsed,diskUsed,totalCores,maxTasks,activeTasks,failedTasks,completedTasks,totalTasks,totalDuration,totalGCTime,totalInputBytes,totalShuffleRead,totalShuffleWrite,isBlacklisted,maxMemory,addTime,executorLogs,memoryMetrics,blacklistedInStages,app_id
397,1,tribarco7n03.gc18bd.tributos.local:37996,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:28:47.840GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1197_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1197_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
398,driver,tribarco7cm.gc18bd.tributos.local:44569,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:27:46.106GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1196_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1196_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
399,1,tribarco7n03.gc18bd.tributos.local:43915,True,0,0,0,1,1,0,0,10,10,7353,267,1760,1961,1961,False,384093388,2021-12-17T11:27:53.891GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1196_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1196_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
400,driver,tribarco7n03.gc18bd.tributos.local:40081,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:25:24.067GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1195_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1195_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
401,1,tribarco7cm.gc18bd.tributos.local,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,0,2021-12-17T11:25:33.681GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1195_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1195_01_000002/afiatc_proces/stderr?start=-4096'}",,[],application_1637600037062_1168
402,driver,tribarco7n03.gc18bd.tributos.local:34365,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:17:24.842GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1194_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1194_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
403,1,tribarco7cm.gc18bd.tributos.local:37728,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:17:35.265GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1194_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1194_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
404,driver,tribarco7n03.gc18bd.tributos.local:41964,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:12:17.721GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1193_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1193_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
405,1,tribarco7cm.gc18bd.tributos.local:42667,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:12:27.829GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1193_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1193_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
406,driver,tribarco7cm.gc18bd.tributos.local:38270,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:11:17.463GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1192_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1192_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
407,2,tribarco7n03.gc18bd.tributos.local:43668,True,0,0,0,1,1,0,0,51,51,8077,310,32536,8026,8026,False,384093388,2021-12-17T11:11:41.311GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1192_01_000003/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1192_01_000003/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
408,1,tribarco7cm.gc18bd.tributos.local:37925,True,0,0,0,1,1,0,0,22,22,11467,184,43104,2260,2260,False,384093388,2021-12-17T11:11:24.614GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1192_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1192_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
409,driver,tribarco7cm.gc18bd.tributos.local:35641,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:10:15.188GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1191_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1191_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
410,1,tribarco7n03.gc18bd.tributos.local:33227,True,0,0,0,1,1,0,0,10,10,6869,273,1760,1961,1961,False,384093388,2021-12-17T11:10:23.228GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1191_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1191_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
411,driver,tribarco7n03.gc18bd.tributos.local:42219,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:01:58.692GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1190_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1190_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
412,1,tribarco7n03.gc18bd.tributos.local:35593,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T11:02:02.770GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1190_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1190_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
413,driver,tribarco7n03.gc18bd.tributos.local:46590,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T10:40:29.048GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1189_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1189_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
414,1,tribarco7n03.gc18bd.tributos.local:39378,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T10:40:33.465GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1189_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1189_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
415,driver,tribarco7n03.gc18bd.tributos.local:35193,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T10:37:56.712GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1188_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1188_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
416,1,tribarco7cm.gc18bd.tributos.local,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,0,2021-12-17T10:38:06.661GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1188_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1188_01_000002/afiatc_proces/stderr?start=-4096'}",,[],application_1637600037062_1168
417,driver,tribarco7cm.gc18bd.tributos.local:41854,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T09:15:54.216GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1187_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1187_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
418,4,tribarco7cm.gc18bd.tributos.local:33120,True,0,0,0,1,1,0,1,0,1,32624,163,0,0,0,False,384093388,2021-12-17T09:18:07.625GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1187_01_000005/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1187_01_000005/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
419,driver,tribarco7n03.gc18bd.tributos.local:40890,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T09:10:50.852GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1186_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1186_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
420,1,tribarco7cm.gc18bd.tributos.local:33771,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T09:11:01.544GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1186_01_000003/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1186_01_000003/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
421,driver,tribarco7cm.gc18bd.tributos.local:37680,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T09:10:02.741GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1185_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1185_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
422,3,tribarco7cm.gc18bd.tributos.local:42940,True,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T09:11:41.864GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1185_01_000004/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1185_01_000004/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
423,driver,tribarco7n03.gc18bd.tributos.local:33908,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,384093388,2021-12-17T05:40:40.631GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1184_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1184_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 384093388, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
